Course,Average Rank,Count
ACC 679R Special Topics,1.0,1
ACC 6150 Info Sys Audit,1.6521739130434783,23
ACC 6410 Tax Research & Procedure,1.9230769230769231,13
ACC 6440 Partnership Tax,2.4,15
ACC 6250 Financial Reporting and Analysis,2.411764705882353,17
ACC 6600 Business Law for Accountants (if taken as an elective),2.4166666666666665,12
ACC 6350 Mgmt Control Sys (if taken as an elective),2.5,16
ACC 6420 Corporate Tax,2.6315789473684212,19
ACC 6030 Financial Accounting Reporting,2.7111111111111112,45
ACC 6610 Finance Statement Research,2.8,20
ACC 6140 Fraud Exam & Forensic Acc,2.9473684210526314,19
